"number","short_description","u_approving_sdm","start_date","state","assigned_to","approval","assignment_group","backout_plan","location","sys_created_on","category","ci_class","u_closure_code","closed_at"
"CHG0526372","Global:  SE2 Refresh from PH1 - TCS Child Change","Naqvi, Masooma","2025-01-07 04:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
System Restore

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 Hours, yes
","20005 - Azure Europe West","2024-12-10 00:49:02","Hardware","All Servers","Successful","2025-02-06 02:48:56"
"CHG0526371","Global:  SE2 Refresh from PH1 - DXC Parent change","Naqvi, Masooma","2025-01-07 04:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
System Restore

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 Hours, yes
","20005 - Azure Europe West","2024-12-10 00:48:24","Hardware","All Servers","Successful","2025-01-30 09:55:06"
"CHG0526499","EMEA | SRQ0054013: Decommission ESX host, Netapp and Fiber switch-Yell test and begin decommission-Single PSP DXC change","Proyer, Damon","2025-01-07 23:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan. 
Ans-: Power on the server/device again to stop the yell test.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-: 3 hours (Yes).","00274 - Gillingham - United Kingdom","2024-12-18 03:56:21","Hardware","All Servers","Successful","2025-01-31 04:43:51"
"CHG0526427","Enterprise - SAP Certificate Thomson Reuters - Single PSP DXC Change","","2025-01-09 03:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Add back the certificate
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?
1 hour (YES)","20005 - Azure Europe West","2024-12-12 09:43:45","Hardware","All Servers","Successful","2025-01-30 09:49:10"
"CHG0526611","EMEA | Deviation Project: Arrange network cleanup for decommissioned server/device - Child change for TCS LAN","","2025-01-09 05:00:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Ans: Add the DNS entry back.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  1 hour (Yes)","10671 - Amsterdam CoLocation","2025-01-06 08:57:05","Hardware","All Servers","Successful","2025-02-03 06:19:24"
"CHG0526610","EMEA | Deviation Project: Arrange network cleanup for decommissioned server/device - Parent change for DXC","","2025-01-09 05:00:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
Ans: Add the DNS entry back.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
Ans-  1 hour (Yes)","10671 - Amsterdam CoLocation","2025-01-06 08:52:12","Hardware","All Servers","Successful","2025-01-31 04:34:37"
"CHG0526516","Global - Need to migrate Easy Archive  (test) application to PHINIA domain - DXC Child Change","","2025-01-10 23:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
DXC team will revert the changes.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
4 hrs. Yes.","10671 - Amsterdam CoLocation","2024-12-18 06:48:17","Hardware","All Servers","Successful","2025-01-30 09:04:15"
"CHG0526335","Enterprise: Need to migrate Trucks App application (Production) to PHINIA domain - DXC Child Change","Chava, Sri","2025-01-10 23:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  

1.Notify Stakeholders: TCS Application Team will inform all stakeholders in case of back out scenario.
2.Stop Services and Applications: TCS Application Team
3.Revert Domain Changes: DXC Unix Team
4.Restore Application Configuration: TCS Application Team
5.Restore Database Connection: DXC DB Team
6.Redeploy Application: TCS Application Team
7.Test Connectivity and Functionality: TCS Application Team and DXC DB Team
8.Monitor Systems: TCS Application Team and DXC DB Team
9.Notify Stakeholders: TCS Application team will inform all stakeholders once the rollback is successfully completed.

Q. What is the duration required to perform the back out plan and is it included in the scheduled window?  
8 hrs. Yes.","10671 - Amsterdam CoLocation","2024-12-05 09:53:45","Hardware","All Servers","Successful","2025-01-30 09:00:49"
"CHG0526624","Global - Need to restore the  TOC db from production environment to test - DXC child change","","2025-01-11 00:30:00","Closed Complete","M, Muthuvel","Approved","Change Coordinator_DXC","Q. Mention step by step procedure of back out plan.  
DB team will restore the old data.

Q. What is the duration required to perform the backout plan and is it included in the scheduled window?  
5hrs. Yes.","10671 - Amsterdam CoLocation","2025-01-07 03:10:50","Hardware","All Servers","Successful","2025-01-30 09:26:21"
"CHG0526446","Global - PH1, PS2 - Password Complexity Update - TCS Child change","Naqvi, Masooma","2025-01-11 22:30:00","Closed Complete","Gajapathy, Suresh Kumar","Approved","Change Coordinator_TCS","Q. Mention step by step procedure of back out plan.  
Rever the parameter values
Q. What is the duration required to perform the backout plan and is it included in the scheduled window?
1 hours (YES)","20005 - Azure Europe West","2024-12-12 11:29:42","Hardware","All Servers","Successful","2025-02-06 05:35:43"
